match_id,map,Kills,Deaths,K/D Ratio,headshots,headshot %,Result
1-103c4429-f522-46a0-b799-cbd363225840,de_dust2,18,17,1.0588235294117647,5,28,0
1-c3d7ece7-c915-44b3-9dd5-a61d4bf8d81c,de_ancient,18,16,1.125,10,56,0
1-18508ddc-6f52-4252-afa8-fa4075f08901,de_dust2,17,12,1.4166666666666667,7,41,1
1-fc35c833-2a8a-4a15-8a9a-580baa93dc92,de_ancient,12,15,0.8,7,58,0
1-7f684b05-9fb0-474d-9f0d-c8b60673e9a0,de_mirage,12,8,1.5,10,83,1
1-85bf1857-5712-440c-8201-062d17793aa2,de_dust2,26,19,1.368421052631579,12,46,0
1-6e1e856f-8ef4-402e-b27d-81c7634402a6,de_mirage,16,18,0.8888888888888888,8,50,0
1-bc2ad7f8-3d81-4cca-8043-7f55a2ab908f,de_mirage,9,17,0.5294117647058824,4,44,1
1-e99e2ab1-74e6-4818-b5fa-953787bb7f8b,de_mirage,17,15,1.1333333333333333,6,35,1
1-dd26f1e7-4d30-4417-881b-1dd4e864421c,de_anubis,17,18,0.9444444444444444,13,76,0
1-ee93cd39-8a46-4b5f-8887-85d628d6bb5c,de_dust2,21,7,3.0,10,48,1
1-c37bc44f-621b-4acf-92e2-0ea1324b969c,de_ancient,18,15,1.2,12,67,1
1-54a97de7-9201-4803-9536-7b8630fade34,de_ancient,18,10,1.8,12,67,1
1-c7a7bf2b-1628-45e7-a969-8e853e507393,de_inferno,13,13,1.0,10,77,0
1-04c86c9b-8d16-4779-8939-7df014a51bdd,de_anubis,18,15,1.2,8,44,0
1-632016c3-41c7-4f0e-b8cc-ba224919ce17,de_anubis,16,16,1.0,10,62,0
1-58ed9f54-1df0-414a-a6f2-74b6f02c8651,de_ancient,20,7,2.857142857142857,16,80,1
1-5de2d8bf-b9e8-41b9-a472-a9f7d7a5428d,de_mirage,23,15,1.5333333333333334,7,30,1
1-7a0f8e72-9d0b-4b9c-946f-edde5ae98411,de_anubis,17,11,1.5454545454545454,8,47,1
1-762fa80c-e88e-467a-b851-8096d6019802,de_ancient,14,17,0.8235294117647058,9,64,0
1-49bc9ec6-6d4b-43b3-b7c5-18eea4c8ac0d,de_dust2,12,9,1.3333333333333333,5,42,1
1-9c7ad794-c828-4b82-99a0-9beaef105f02,de_ancient,15,15,1.0,6,40,0
1-84685b02-d999-4ffd-8d56-73c39486a59e,de_anubis,15,12,1.25,11,73,1
1-eb10046d-08a9-4385-a2b9-07ba2d1cb75a,de_ancient,22,12,1.8333333333333333,12,55,1
1-60f9d3f8-1150-4439-909d-a80dfdfc258a,de_ancient,14,18,0.7777777777777778,6,43,0
1-be5b29d8-d2d3-4835-b6b4-3be7ba8c3d7c,de_dust2,10,17,0.5882352941176471,4,40,0
1-53f83459-f0ae-46a7-89c6-e06fc8d61912,de_ancient,13,12,1.0833333333333333,6,46,1
1-d6bccfe0-9fab-47cf-946b-15bc6c28226b,de_dust2,21,14,1.5,5,24,1
1-9cf60742-e454-46b0-97d6-16dda5a14fd8,de_dust2,23,13,1.7692307692307692,7,30,0
1-f927b083-e6b0-4e07-9c5a-2a3ad15c13f5,de_inferno,14,15,0.9333333333333333,10,71,0
1-a6df5cc4-4636-4940-a624-a619b5e4bf0e,de_ancient,16,14,1.1428571428571428,8,50,1
1-60b00065-4064-4e09-80ba-324dc1aaf73e,de_anubis,32,21,1.5238095238095237,14,44,0
1-f562f977-01bc-4273-8faf-58c57c2ac44e,de_mirage,9,4,2.25,4,44,1
1-a3460a14-b8c8-4ae6-8c38-0b3c64092ba1,de_dust2,9,14,0.6428571428571429,4,44,1
1-38aa40a4-a049-4c90-8b2a-a39f11d921b6,de_ancient,16,15,1.0666666666666667,8,50,1
1-504506d1-5705-44a1-ad2a-7177f46d35c1,de_dust2,17,4,4.25,7,41,1
1-72da5fe5-c533-4326-9193-0dba53a2dab6,de_dust2,15,6,2.5,10,67,1
1-3de8ffe2-7993-411a-bb81-bf0394a9708c,de_anubis,21,17,1.2352941176470589,12,57,0
1-a46202eb-9d68-401e-ab20-35428971bfc5,de_ancient,21,15,1.4,13,62,1
1-bd9cbeaf-d932-4312-b9af-da64788b8b53,de_inferno,13,6,2.1666666666666665,4,31,1
1-395b4dd2-7023-4ebf-9024-96271e135cf2,de_mirage,17,15,1.1333333333333333,6,35,1
1-592b71be-5e0a-4fae-99b1-bf44e57f2a51,de_anubis,13,20,0.65,7,54,1
1-88dfef46-f179-4b53-a489-033241bbf772,de_mirage,16,16,1.0,8,50,1
1-f3895487-a2ea-4da3-a4af-76dd5dfbb0df,de_dust2,12,13,0.9230769230769231,7,58,0
1-84b0fcf3-6a41-4747-8da2-0a35e6921d29,de_dust2,20,9,2.2222222222222223,13,65,1
1-22d99004-c1fa-4201-9e2e-2471d874aba4,de_anubis,20,13,1.5384615384615385,5,25,0
1-533b87f1-13b2-477e-85e6-097a45dbd865,de_mirage,23,10,2.3,11,48,1
1-2ab7cd5c-9c76-458b-9b3b-85dea87f4b4a,de_dust2,27,13,2.076923076923077,15,56,0
1-16a83d94-dd99-4332-bd3e-a505c263c869,de_inferno,25,6,4.166666666666667,10,40,1
1-a1bb2fd6-27e9-4f81-8a79-82c7fce7feab,de_inferno,7,14,0.5,1,14,0
